feature,prominence
wa,0.00910602797656375
no,0.009100013209722379
wdt vbd,0.0090261224077483
wdt vbz,0.009005619330900452
em,0.009003527465777577
vbn vbn,0.0089850199260334
ay,0.008979548460916779
ly,0.008977941487254863
lo,0.008974908707598055
vbn nn,0.008953048851264902
vbz jj,0.008922184140077906
0,0.008881772673994724
 st,0.008854818751433858
st ,0.008792871686720336
 ha,0.008764883827839989
t a,0.008750021320724135
ir,0.008723122170637808
ia,0.008707308713553323
 de,0.008697536860947796
vbp to,0.008669623421433596
tha,0.008657293691458196
ers,0.008644735370113447
im,0.008593647440982455
et,0.008582630145228995
nns md,0.008582335349679294
hat,0.008572841562667455
vbp dt,0.00851766641848268
2,0.008475184804906425
ci,0.008434122038285937
an ,0.008412800011318269
ie,0.008394645715670732
in rb,0.008374613969055911
pa,0.008355595143485784
rp in,0.008343680807849196
vbp in,0.00830317311466326
nns prp,0.0082968475842908
 se,0.008273918590041045
s.,0.008210722030963262
men,0.008180205151385418
mo,0.008174860706931386
 wi,0.008173498779819594
cd jj,0.008159168941954776
 be,0.008152400106366373
cc vb,0.008143243589057837
vb rb,0.008111785529891825
wh,0.00809642323402251
m ,0.008085411705966054
prp rb,0.008075800454305027
 wa,0.008066158064327566
we,0.008042564120916173
ow,0.008034872976528067
vbn jj,0.007974646551502323
vbp vbg,0.007944573894488058
 wh,0.00793384668804931
vi,0.007926017500087125
 he,0.007913891860726642
e s,0.007908307294173005
ide,0.007892349360540389
dt jjs,0.007875751806373905
ly ,0.00786817680791874
vbn nns,0.007851847706646207
cc in,0.00776838962833285
rs ,0.007746314049210297
n a,0.007743902756721262
os,0.007732140736034654
nnp vbp,0.007719945788213958
nns wdt,0.007701551967449014
sh,0.0076935360240699925
ag,0.007680639399327046
 ne,0.007663715844517424
vbd cd,0.007655039840510181
so,0.007593263975056727
nnp wp,0.007586103988485067
e c,0.007569528783023639
ep,0.00752917602049997
th ,0.007488485431636393
rb cd,0.007462580222637675
ted,0.007460095588304841
nn wp,0.007451507990545067
e o,0.007392768558899103
prp nnp,0.007370095178717034
ov,0.007346214803191951
con,0.007332608103950058
cc vbg,0.007307971812426366
su,0.0072987110609921725
vbz to,0.007289996314103527
dt rb,0.007289433935612533
 ma,0.007288950730465369
ver,0.0072858565489946564
ke,0.00727700072630202
ce ,0.007225334824866551
ul,0.0072232757863217745
rbr,0.007221428741472104
tin,0.007201749539923511
d a,0.007201122846697023
 sa,0.0071952190755915375
rb to,0.007178494257082749
vbz prp,0.007149225324172256
all,0.007111182296445693
vb rp,0.007101516343081848
am,0.007085461593483463
s. ,0.007077458498527632
ew,0.007051279510021662
 v,0.007046305325797286
", a",0.007045087694055818
x,0.007022341559146848
 ca,0.00700527802431643
g t,0.006997565623467484
pre,0.0069747960997847665
s o,0.0069722074548725565
sta,0.0069549501859516435
op,0.006942716491262366
fe,0.006841565971218376
her,0.006822899147348537
te ,0.006798470347400805
pro,0.006778456647427806
mp,0.006761356481870794
 hi,0.006759858652276445
iv,0.006747518081184083
e i,0.006739123749200031
 is,0.006737011010243017
. t,0.006732252631829499
j,0.00670982616837186
ons,0.0067026433169045324
 mo,0.006689816882913489
ld,0.0066788239049474386
ve ,0.006672940670657766
ru,0.006669726009372445
vb to,0.006666815114523012
ry,0.006653218162286769
our,0.006625568047743774
gr,0.00662333215833553
ice,0.006597586712642805
den,0.006584872541328654
day,0.006583219692691553
est,0.006574378755744742
rat,0.006569148905227211
his,0.0065545431319264285
fr,0.00649579441622927
ga,0.006480005907164453
p ,0.006468793680435369
e w,0.006463541463347948
der,0.006462960401412913
ist,0.006457021610054646
t o,0.006451892069088339
jjs nn,0.006430068023522331
nns wp,0.006419183476957137
vbg rb,0.006392323229882249
wrb prp,0.00639125951757309
vbn rb,0.006373837585705313
"s,",0.0063643811365200025
"s, ",0.0063643811365200025
 y,0.006349786670395379
pl,0.006329651515690354
rn,0.006302633736724424
ff,0.00630045183688973
vb jjr,0.006265167611130744
rp dt,0.006263793745059085
 it,0.006255425424407433
rd,0.006250867506674516
ns ,0.0062481976951011
vbp jj,0.006247570453044267
rb nnp,0.0062199527531695085
wo,0.006216015302023347
str,0.006199720648061073
 fr,0.006197417567560641
new,0.006192053897325552
w ,0.0061780732525145024
ll ,0.0061766413577021275
tu,0.006171829942381338
 tr,0.006170495196987013
e p,0.006168700759990277
ill,0.006153620022914891
ove,0.00614678018134553
 la,0.006143557814781585
cd cc,0.006135816060916503
ort,0.006127454921337489
 we,0.00612532373994789
cd dt,0.006109397438078768
 as,0.006105002923436823
ere,0.006089780128484209
vbz nnp,0.0060896128826251296
se ,0.0060887279468357465
s i,0.006066551648012664
jj cd,0.006063295698545349
ith,0.006057623949746772
t s,0.006055287716992834
"t, ",0.006045408087073001
"t,",0.006045408087073001
e f,0.006014546893639148
e e,0.006006063330893409
ear,0.006002721310514957
en ,0.006001578817804277
wit,0.005998054198256038
dt nnps,0.0059897445074596324
by,0.005986740265526462
 po,0.005983993671254258
nce,0.00597988386443967
t e,0.005957220911457193
by ,0.005935328142789898
was,0.00592502055447245
nnp wdt,0.005914145319197901
gh,0.005907530810713081
ex,0.005900229166343814
le ,0.005893992582103096
 by,0.0058840739561052124
min,0.005882508228076176
ev,0.005858317197676882
era,0.005854834740075292
nts,0.005846995661042801
vbd rp,0.005841698805363791
 ho,0.005835847449627246
t i,0.005832195165334964
iti,0.005830915586831964
sid,0.005799161506098394
sp,0.005798832725165227
vbg vbn,0.005792499544426015
 mi,0.005791523288436361
to cd,0.005787720837402566
rb vbz,0.005784790289505413
ay ,0.005781130431529844
ess,0.005769734408413215
r t,0.005766768374550144
ef,0.005761510987553803
